Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135,15.1,145.4786,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,11.8,115.3492,5
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025896485,13.85,165.021,5
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.042277867,12.15,126.5046,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195,19.6,55.1614,5
Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,8.89,102.4016,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312421,11.8,81.4618,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903714,19.7,96.0726,5
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.024129332,20.75,124.173,5
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568,null,181.9292,5
Low Fat,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569,null,109.8912,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044976,18.85,192.1846,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661,17.1,112.3886,5
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.090486828,16.35,195.211,5
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,null,173.1738,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,20.25,222.1772,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834,17.85,93.7436,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,19.2,197.611,5
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881,null,98.77,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,12.1,178.566,5
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,null,60.2194,5
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,null,50.9666,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.85,261.6594,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.25,173.1764,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917,16,76.1986,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213,13.35,150.2392,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033935576,6.695,221.9456,5
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275,null,47.4034,5
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026537206,16.6,57.2614,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131128467,6.92,93.1804,5
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.080640478,5.82,167.779,5
